landmark_kind,group,fixed_feature_index,moving_feature_index,src_x,src_y,dst_x,dst_y,dx,dy,motion_um,used_for_transform,tear_like_motion
reciprocal_contour_centroid,Perivascular_SMC,569,11,7035.603508447391,2874.068811573804,7425.169750399999,2862.5423683055556,389.56624195260883,-11.526443268248386,389.7367262184752,True,True
reciprocal_contour_centroid,Perivascular_SMC,449,13,5438.394889651555,1628.873333345137,4838.388794650291,1767.4516210371737,-600.0060950012639,138.5782876920366,615.8013119978899,True,True
reciprocal_contour_centroid,Perivascular_SMC,483,14,2911.9611983409786,2552.638472940959,3891.2364203019674,2686.9304998112034,979.2752219609888,134.29202687024417,988.4403415622322,True,True
reciprocal_contour_centroid,Perivascular_SMC,476,17,5575.090716494818,1810.9651182749212,5632.105649725263,1654.9465107593799,57.01493323044542,-156.01860751554136,166.10992896982614,True,True
reciprocal_contour_centroid,Perivascular_SMC,495,18,5464.871662690157,1809.5679371332349,5311.993758700001,1720.7526098916667,-152.87790399015557,-88.81532724156818,176.80445662213967,True,True
reciprocal_contour_centroid,Perivascular_SMC,441,19,4555.624906214609,1332.2434305622874,4658.502764451492,1370.1125228122835,102.87785823688318,37.86909224999613,109.62628272110183,True,True
reciprocal_contour_centroid,Perivascular_SMC,620,25,6466.533033529477,3425.7952854189202,7070.221669243967,3460.9985540398,603.6886357144904,35.20326862087995,604.714179602576,True,True
reciprocal_contour_centroid,Perivascular_SMC,484,30,4599.742751630137,1489.4028757528438,4611.9768670875,1666.3816689833334,12.23411545736326,176.9787932304896,177.40114665453683,True,True
reciprocal_contour_centroid,Perivascular_SMC,523,42,5208.682356061055,2272.331642360781,5063.612765103352,2049.9742048853523,-145.06959095770253,-222.35743747542892,265.4957932270762,True,True
reciprocal_contour_centroid,Perivascular_SMC,492,44,4351.16656457719,1550.8949741319973,4641.35257588272,1710.7661105264576,290.18601130553,159.87113639446034,331.31058149336144,True,True
reciprocal_contour_centroid,Perivascular_SMC,471,46,5027.11395246712,2172.8060867447953,5115.114007887499,1565.4070644055553,88.00005542037889,-607.39902233924,613.7406472547295,True,True
reciprocal_contour_centroid,Perivascular_SMC,530,49,5292.580982195078,2510.9425403095365,5080.256609453881,2144.960547958018,-212.3243727411973,-365.98199235151833,423.1128194530741,True,True
reciprocal_contour_centroid,Perivascular_SMC,432,50,3659.1237833627006,1117.2655746730002,3598.815844966488,1150.6488422074644,-60.30793839621265,33.38326753446427,68.93105239932868,True,True
