fixed_group,moving_group,fixed_node_id,moving_node_id,fixed_feature_index,moving_feature_index,fixed_label,moving_label,fixed_centroid_x,fixed_centroid_y,moving_centroid_x,moving_centroid_y,fixed_area,moving_area,area_ratio,topology_score,area_score,shape_score,descriptor_score,aligned_moving_centroid_x,aligned_moving_centroid_y,anchor_residual,support_score,used_for_transform,total_score
Structure 3,Structure 3,fixed_00478,moving_00403,478,403,Structure 3,Structure 3,13123.289844042147,13879.582176366615,14480.590131101044,5085.2730179610035,2102659.7574920626,1780547.368774937,0.8468071747845103,0.9443165234391738,0.9277845290310319,0.9587776156620752,0.9429721981724566,13138.864272566672,13877.03726500133,15.78098215329799,0.9319966270159916,True,0.9319966270159916
Structure 3,Structure 3,fixed_00488,moving_00422,488,422,Structure 3,Structure 3,9418.451715450487,15452.45077768569,10838.578261444818,6793.9513520881255,868694.3134737636,892803.8983360182,1.0277538191378788,0.9614326162510364,0.9881109007043388,0.9746157257368018,0.9727318789584684,9442.580013310884,15464.902115361765,27.15162182197811,0.909083469258728,True,0.909083469258728
Structure 3,Structure 3,fixed_00468,moving_00391,468,391,Structure 3,Structure 3,8795.649217751967,12019.797030495023,10104.25244644463,3350.989598530527,712459.5325480107,681711.8025077084,0.9568428399991542,0.9830628130351277,0.9808406114172594,0.9000249946742734,0.9616366979595536,8821.987322601544,11999.633763375985,33.17006343046436,0.8956158852083566,True,0.8956158852083566
Structure 3,Structure 3,fixed_00480,moving_00405,480,405,Structure 3,Structure 3,9356.679006273858,13764.520013002684,10722.684794623196,5128.120622499607,2078067.2460195154,2235985.7942926455,1.0759929923228515,0.9531408578381203,0.968190557113335,0.9741751716322693,0.9629143460692219,9381.58504775941,13796.15919643425,40.26597609268016,0.8489389797308388,True,0.8489389797308388
Structure 3,Structure 3,fixed_00521,moving_00450,521,450,Structure 3,Structure 3,30679.852213516435,20586.19976380388,32241.45443081219,11208.94121362738,12894432.575798543,13014695.200685954,1.0093267093515328,0.5685799920933815,0.9959682340582561,0.9740931106521351,0.7981747443225322,30688.524757099032,20582.037617053018,9.619588232755678,0.7888845195220783,True,0.7888845195220783
Structure 3,Structure 3,fixed_00481,moving_00406,481,406,Structure 3,Structure 3,20327.935241501837,13737.216954385613,21637.87160563916,4698.932725933211,630002.2872624402,584840.772155238,0.9283153156420378,0.7851093332180368,0.9676955156412413,0.9578072881227369,0.8830596766711731,20304.9844385081,13726.509213468715,25.32577883502596,0.7832187808042218,True,0.7832187808042218
Structure 3,Structure 3,fixed_00485,moving_00421,485,421,Structure 3,Structure 3,10537.227789064795,14938.813441225897,11948.25695360793,6200.972972735895,481000.59819911845,447486.3261157615,0.9303238453157117,0.8058344858707249,0.9686341525879839,0.8720705478431796,0.8712334013790163,10571.176943001154,14908.773417564462,45.33153510056958,0.777995676617351,True,0.777995676617351
Structure 3,Structure 3,fixed_00503,moving_00429,503,429,Structure 3,Structure 3,31114.46325495589,17471.8426335465,32575.846346106442,8053.012194327895,2598849.8483298924,2532382.2304209773,0.9744242177162988,0.6583638389583739,0.9887480691002253,0.9445028916935112,0.8290138711847136,31126.62209138567,17438.82641613735,35.183915577070294,0.749798626565676,True,0.749798626565676
Structure 3,Structure 3,fixed_00477,moving_00397,477,397,Structure 3,Structure 3,17661.159298069888,13534.985182627292,19018.937071426197,4583.579189197363,1558731.2613011668,1474030.0794819526,0.9456601763741435,0.6722598629195995,0.975735100419262,0.7952490353423508,0.7940497272751861,17691.26641364495,13525.00829675566,31.71713511567034,0.7455308113029622,True,0.7455308113029622
Structure 3,Structure 3,fixed_00465,moving_00390,465,390,Structure 3,Structure 3,17095.485485419442,11768.102826022983,18396.10383630232,2882.558275482568,732712.1894051081,732316.0716583623,0.9994593815245965,0.734323177493659,0.9997651488911716,0.8261084824282561,0.8369020951465622,17124.764799540208,11804.406858628074,46.63969359648438,0.7243630320024997,True,0.7243630320024997
Structure 3,Structure 3,fixed_00482,moving_00401,482,401,Structure 3,Structure 3,29872.98864606606,13630.180811171986,31164.955972206237,4278.758007933349,261114.61030020495,259527.61086820133,0.9939222112842363,0.6352096781388759,0.9973523959345495,0.9880823086451107,0.8320706511041366,29840.73696039116,13620.174070012054,33.76841864100773,0.7158997268145214,True,0.7158997268145214
Structure 3,Structure 3,fixed_00536,moving_00473,536,473,Structure 3,Structure 3,19775.799590609266,23202.681404826264,21477.39371686183,14182.252524176198,1194183.4397151812,727978.5624946976,0.6096036323098939,0.7768007485864561,0.7850475460734138,0.8621537273967195,0.8006130325351092,19832.42229395478,23199.407004961504,56.71730096388984,0.6895485788238928,True,0.6895485788238928
Structure 3,Structure 3,fixed_00530,moving_00469,530,469,Structure 3,Structure 3,1168.358176922751,21696.89060509557,2802.184294481066,13325.798020914819,363824.5127076835,392544.5479510761,1.0789392529647057,0.49849347748745176,0.9670030065171785,0.9059572771290928,0.7409122861067801,1195.526454652234,21728.667476382998,41.80771296787307,0.6500022158683888,True,0.6500022158683888
Structure 3,Structure 3,fixed_00451,moving_00389,451,389,Structure 3,Structure 3,978.4731467459611,11456.913820914177,2241.253721594544,3012.9330818788676,1396710.007325947,1537646.87482723,1.100906320397254,0.4316155821192257,0.958249634947847,0.9435266010678949,0.7175835527049794,974.378005032042,11402.92683846136,54.14207661345967,0.6028818360185806,True,0.6028818360185806
Structure 3,Structure 3,fixed_00476,moving_00392,476,392,Structure 3,Structure 3,27293.230835572565,15381.441441867863,28606.64687788576,6193.581756357342,20168029.589301158,19734942.192079093,0.9785260431464355,0.7288129992424037,0.9905723887515834,0.9611321138530702,0.8654205947478242,27220.782293015254,15449.745864314364,99.57050489190367,0.5982874120358176,True,0.5982874120358176
Structure 3,Structure 3,fixed_00461,moving_00385,461,385,Structure 3,Structure 3,32050.999590680054,12148.467623161752,33254.52885298208,2708.6437449016207,4713805.861553939,4773428.45129032,1.0126485034571886,0.5283486864212674,0.9945412747772189,0.8913612595745122,0.758959606216364,31980.86232041533,12119.695124331389,75.80958626143672,0.5688536860131465,True,0.5688536860131465
Structure 3,Structure 3,fixed_00522,moving_00454,522,454,Structure 3,Structure 3,27377.10292248206,19568.994340792808,28819.107023459994,10245.679670287906,2574257.335822244,2578648.9907889753,1.0017059891043598,0.6858786920965358,0.9992597296130095,0.6821949447742116,0.7789720665208969,27299.740635674872,19506.641524503604,99.36195005751762,0.5448501979485597,True,0.5448501979485597
Structure 3,Structure 3,fixed_00513,moving_00447,513,447,Structure 3,Structure 3,19056.731633049385,18468.59250750918,20665.73230867224,9563.894772623795,1726538.9889198332,1461017.5524069134,0.8462117344485589,0.6919184170311168,0.9274790434142341,0.9083590878562976,0.8166967726523473,19173.227520685014,18556.83392381757,146.143215333875,0.5138408782717996,True,0.5138408782717996
Structure 3,Structure 3,fixed_00497,moving_00426,497,426,Structure 3,Structure 3,24229.12410072472,16127.933288181304,25502.524765654834,6949.639834880627,436155.42959260405,422907.1092469451,0.9696247726228384,0.6124702028143553,0.9866037026101294,0.5943918665217885,0.7201906686799459,24093.45456993535,16103.2129393818,137.9032894073829,0.43768945820837063,True,0.43768945820837063
Structure 3,Structure 3,fixed_00543,moving_00480,543,480,Structure 3,Structure 3,33313.3046435781,25079.987118618144,34887.32272610148,15666.790205394935,1521119.184654778,1533309.366614341,1.0080139558310348,0.5502186080476859,0.99653345509441,0.6600984599375785,0.7115830251341763,33186.21599967094,25124.567212575726,134.68076398442443,0.4364149882530767,True,0.4364149882530767
Structure 3,Structure 3,fixed_00512,moving_00440,512,440,Structure 3,Structure 3,20322.16483366281,17718.207240753225,21669.635486187326,8460.662494035816,439048.6661790192,522669.8123108121,1.1904598568981803,0.6355792437848277,0.9242852447123103,0.8279819160819917,0.7702917121373635,20212.90276032421,17487.24594406813,255.50209634503926,0.3260986621091941,False,0.3260986621091941
