fixed_node_id,moving_node_id,fixed_feature_index,moving_feature_index,fixed_label,moving_label,fixed_centroid_x,fixed_centroid_y,moving_centroid_x,moving_centroid_y,distance,area_ratio,position_score,topology_score,area_score,shape_score,total_score,rejection_codes,classification,fixed_rank,moving_rank,is_mutual_first,is_mutual_top3,fixed_status,moving_status
fixed_00000,moving_00072,0,72,Structure 1,Structure 1,925.4240374138626,2077.805094202429,222.84094569549677,2510.9258376458056,825.3584549572877,0.03750620543286633,0.016134551109436162,0.5373283312270697,0.0,0.7538419169884004,0.2690962005166171,ERR_DIST;ERR_AREA,rejected,1,5,False,False,no_counterpart,no_counterpart
fixed_00000,moving_00073,0,73,Structure 1,Structure 1,925.4240374138626,2077.805094202429,31.002499999999998,2200.533489,902.8023845113426,0.00012460533514012967,0.01095442360007017,0.39535374746534546,0.0,0.268910280713448,0.16909888794424027,ERR_DIST;ERR_AREA,rejected,10,12,False,False,no_counterpart,matched_anchor
fixed_00000,moving_00388,0,388,Structure 1,Structure 3,925.4240374138626,2077.805094202429,31.0025,1906.3586293333335,910.7050987591359,0.00012460533175152414,0.010530015363708446,0.45727934889714095,0.0,0.268910286392523,0.19062430613054956,ERR_DIST;ERR_AREA,rejected,3,11,False,False,no_counterpart,matched_review
fixed_00000,moving_00074,0,74,Structure 1,Structure 1,925.4240374138626,2077.805094202429,31.0025,2310.849061666667,924.2831694676963,0.0001246053317515226,0.00983885587702248,0.38196094901054745,0.0,0.2689102863925256,0.16402096034990205,ERR_DIST;ERR_AREA,rejected,11,14,False,False,no_counterpart,matched_anchor
fixed_00000,moving_00076,0,76,Structure 1,Structure 1,925.4240374138626,2077.805094202429,31.0025,2384.3927766666666,945.5082726388858,0.00012460533175152414,0.00884819882571028,0.41393879507723674,0.0,0.268910286392523,0.17486647650528375,ERR_DIST;ERR_AREA,rejected,8,13,False,False,no_counterpart,matched_review
fixed_00000,moving_00387,0,387,Structure 1,Structure 3,925.4240374138626,2077.805094202429,31.0025,1667.3415555000001,984.1088370672716,0.00037381599864317634,0.007295159847391424,0.3839005406906222,0.0,0.4005892915282025,0.176977424341125,ERR_DIST;ERR_AREA,rejected,5,12,False,False,no_counterpart,matched_anchor
fixed_00000,moving_00386,0,386,Structure 1,Structure 3,925.4240374138626,2077.805094202429,31.002499999999998,1575.4119120000005,1025.8600275443332,0.00012460533514012967,0.0059207027004999436,0.40133094031035776,0.0,0.268910280713448,0.16942910312514498,ERR_DIST;ERR_AREA,rejected,9,12,False,False,no_counterpart,matched_review
fixed_00000,moving_00077,0,77,Structure 1,Structure 1,925.4240374138626,2077.805094202429,31.0025,2678.567636333333,1077.453255885082,0.0001246053317515226,0.004574461557981498,0.41942688921442345,0.0,0.2689102863925256,0.17529150140959426,ERR_DIST;ERR_AREA,rejected,7,14,False,False,no_counterpart,matched_anchor
fixed_00000,moving_00384,0,384,Structure 1,Structure 3,925.4240374138626,2077.805094202429,31.002499999999998,1428.324482,1105.3573866476938,0.00012460533514012967,0.003978752570788588,0.43330106354300857,0.0,0.268910280713448,0.1799389637111738,ERR_DIST;ERR_AREA,rejected,4,9,False,False,no_counterpart,matched_anchor
fixed_00000,moving_00070,0,70,Structure 1,Structure 1,925.4240374138626,2077.805094202429,955.0013055,958.0904258667294,1120.1052420525334,0.006853293375855101,0.003695918374519714,0.43361561555065586,0.0,0.236117698359413,0.17667080670975274,ERR_DIST;ERR_AREA,rejected,6,5,False,False,no_counterpart,no_counterpart
fixed_00000,moving_00078,0,78,Structure 1,Structure 1,925.4240374138626,2077.805094202429,31.0025,2752.1113513333325,1120.1244640644477,0.00012460533175152414,0.0036955631766538858,0.3724295677147895,0.0,0.268910286392523,0.1585348244512575,ERR_DIST;ERR_AREA,rejected,12,15,False,False,no_counterpart,matched_anchor
fixed_00000,moving_00079,0,79,Structure 1,Structure 1,925.4240374138626,2077.805094202429,31.0025,2825.6550663333333,1165.8771236309476,0.0001246053317515226,0.0029398826360044488,0.5367726402049946,0.0,0.2689102863925256,0.21579041163360219,ERR_DIST;ERR_AREA,rejected,2,15,False,False,no_counterpart,matched_review
fixed_00001,moving_00360,1,360,Structure 1,Structure 3,1445.4070496666668,30.539272666666665,1643.0855219999999,30.993897999999998,197.67899511135224,0.9994594005904753,0.3721735595598372,0.5381330416631565,0.9996099345122973,0.9998802909621872,0.618517326426726,,matched_review,1,3,False,True,matched_review,matched_review
fixed_00001,moving_00361,1,361,Structure 1,Structure 3,1445.4070496666668,30.539272666666665,1761.0428170000002,30.993897999999998,315.63609474249915,0.9994594005904753,0.2063502164759248,0.35567629188292316,0.9996099345122973,0.9998802909621872,0.49661929392427495,,rejected,3,5,False,False,matched_review,matched_anchor
fixed_00001,moving_00362,1,362,Structure 1,Structure 3,1445.4070496666668,30.539272666666665,1859.3405619999999,30.993898,413.9337619919439,2.9983782017714375,0.12622758010038848,0.44841768099616697,0.20790881512712178,0.7963361728610051,0.32234122169531926,,rejected,9,5,False,False,matched_review,matched_review
fixed_00001,moving_00359,1,359,Structure 1,Structure 3,1445.4070496666668,30.539272666666665,994.3204037222221,30.993897999999994,451.0868750402771,2.9983782271906163,0.10482799916203933,0.4791843056333114,0.20790880901179531,0.7963361838102923,0.325619686861761,,rejected,8,1,False,False,matched_review,no_counterpart
fixed_00001,moving_00160,1,160,Structure 1,Structure 2,1445.4070496666668,30.539272666666665,2036.2765034999995,30.993898,590.8696287316642,4.997297053790746,0.0521126194480789,0.3842766396648478,0.0,0.4807560672123607,0.2008118474107604,ERR_AREA,rejected,11,8,False,False,matched_review,no_counterpart
fixed_00001,moving_00066,1,66,Structure 1,Structure 1,1445.4070496666668,30.539272666666665,817.3844620000001,692.8873326666667,912.7526078874273,0.9994593734104692,0.010422763784016112,0.33790303764863105,0.9996099148954621,0.9998802766664208,0.421824041147161,ERR_DIST,rejected,6,2,False,False,matched_review,no_counterpart
fixed_00001,moving_00067,1,67,Structure 1,Structure 1,1445.4070496666668,30.539272666666665,778.065364,729.6591899999999,966.4955169273135,0.999459400590477,0.007966758475669513,0.3164056407499794,0.9996099345122984,0.9998802909621857,0.41344035572765536,ERR_DIST,rejected,7,5,False,False,matched_review,no_counterpart
fixed_00001,moving_00070,1,70,Structure 1,Structure 1,1445.4070496666668,30.539272666666665,955.0013055,958.0904258667294,1049.213484336924,54.9702665764662,0.005268195306378346,0.5137984520318674,0.0,0.7410886091000402,0.25578218747839,ERR_DIST;ERR_AREA,rejected,10,2,False,False,matched_review,no_counterpart
fixed_00001,moving_00158,1,158,Structure 1,Structure 2,1445.4070496666668,30.539272666666665,384.8743830000001,30.993897999999994,1060.5327641102397,0.9994594005904767,0.004978314890788032,0.5308270226628391,0.9996099345122982,0.9998802909621864,0.4874418841424478,ERR_DIST,rejected,4,2,False,False,matched_review,no_counterpart
fixed_00001,moving_00157,1,157,Structure 1,Structure 2,1445.4070496666668,30.539272666666665,306.23618700000003,30.993897999999994,1139.1709533836051,0.9994594005904767,0.003359864050729437,0.41411510766797505,0.9996099345122982,0.9998802909621864,0.44602625610022484,ERR_DIST,rejected,5,4,False,False,matched_review,no_counterpart
fixed_00001,moving_00159,1,159,Structure 1,Structure 2,1445.4070496666668,30.539272666666665,310.0528756204282,139.55842948440744,1140.5762916514911,90.95080456988654,0.0033363380747865345,0.41962596561665455,0.0,0.36418516733786316,0.1844553230257907,ERR_DIST;ERR_AREA,rejected,12,8,False,False,matched_review,matched_review
