structure,iou_hard_before_soft,iou_soft_after,delta_iou_soft,area_fixed,area_hard_aligned,area_soft_aligned
Structure 1,0.8744519602976806,0.9059573053480937,0.031505345050413136,22024727.41261753,22599900.13234137,22246437.465442505
Structure 2,0.6401947144349325,0.6851646315296656,0.04496991709473308,12892732.232915904,12580471.820157843,12545506.474950712
Structure 3,0.6662838504091534,0.6910051292652949,0.024721278856141504,29502266.3708796,28845715.713037133,28600358.649469495
Structure 4,0.8407360023909228,0.8560737005937584,0.015337698202835592,56569296.79215536,56828231.6148386,56996600.700362206
Structure 5,0.5861884241280513,0.6199203185820727,0.03373189445402147,33892057.946681276,36297049.6727043,35899880.31934337
