kind,landmark_kind,used_for_tps,accepted_for_tps,source,fixed_node_id,moving_node_id,fixed_feature_index,moving_feature_index,fixed_status,moving_status,fixed_label,moving_label,src_x,src_y,dst_x,dst_y,dx,dy,input_residual_um,source_distance_um,match_cost_um,total_score
matched_anchor,matched_anchor,True,True,label_free_anchor_transform,fixed_00478,moving_00403,478.0,403.0,,,Structure 3,Structure 3,13138.864272566672,13877.03726500133,13123.289844042149,13879.582176366615,-15.574428524523682,2.544911365284861,15.780982153296193,15.780982153296193,15.780982153296193,0.9319966270159916
matched_anchor,matched_anchor,True,True,label_free_anchor_transform,fixed_00488,moving_00422,488.0,422.0,,,Structure 3,Structure 3,9442.580013310884,15464.902115361763,9418.451715450488,15452.45077768569,-24.128297860395833,-12.451337676073308,27.15162182197566,27.15162182197566,27.15162182197566,0.909083469258728
matched_anchor,matched_anchor,True,True,label_free_anchor_transform,fixed_00468,moving_00391,468.0,391.0,,,Structure 3,Structure 3,8821.987322601544,11999.633763375983,8795.649217751967,12019.797030495023,-26.338104849577576,20.16326711904003,33.17006343046547,33.17006343046547,33.17006343046547,0.8956158852083566
matched_anchor,matched_anchor,True,True,label_free_anchor_transform,fixed_00480,moving_00405,480.0,405.0,,,Structure 3,Structure 3,9381.58504775941,13796.15919643425,9356.679006273858,13764.520013002684,-24.906041485552123,-31.63918343156547,40.26597609268016,40.26597609268016,40.26597609268016,0.8489389797308388
matched_anchor,matched_anchor,True,True,label_free_anchor_transform,fixed_00521,moving_00450,521.0,450.0,,,Structure 3,Structure 3,30688.524757099032,20582.037617053014,30679.852213516435,20586.19976380388,-8.672543582597427,4.162146750866668,9.619588232757252,9.619588232757252,9.619588232757252,0.7888845195220783
matched_anchor,matched_anchor,True,True,label_free_anchor_transform,fixed_00481,moving_00406,481.0,406.0,,,Structure 3,Structure 3,20304.9844385081,13726.509213468717,20327.93524150184,13737.216954385613,22.950802993738762,10.707740916896,25.325778835028487,25.325778835028487,25.325778835028487,0.7832187808042218
matched_anchor,matched_anchor,True,True,label_free_anchor_transform,fixed_00485,moving_00421,485.0,421.0,,,Structure 3,Structure 3,10571.176943001154,14908.773417564462,10537.227789064797,14938.813441225897,-33.949153936357106,30.040023661435043,45.33153510056822,45.33153510056822,45.33153510056822,0.777995676617351
matched_anchor,matched_anchor,True,True,label_free_anchor_transform,fixed_00503,moving_00429,503.0,429.0,,,Structure 3,Structure 3,31126.62209138567,17438.82641613735,31114.46325495589,17471.8426335465,-12.15883642978224,33.01621740914925,35.183915577070294,35.183915577070294,35.183915577070294,0.749798626565676
matched_anchor,matched_anchor,True,True,label_free_anchor_transform,fixed_00477,moving_00397,477.0,397.0,,,Structure 3,Structure 3,17691.26641364495,13525.00829675566,17661.159298069888,13534.985182627292,-30.10711557506147,9.976885871632476,31.71713511567034,31.71713511567034,31.71713511567034,0.7455308113029622
matched_anchor,matched_anchor,True,True,label_free_anchor_transform,fixed_00465,moving_00390,465.0,390.0,,,Structure 3,Structure 3,17124.764799540208,11804.406858628074,17095.485485419442,11768.102826022983,-29.279314120765775,-36.30403260509047,46.63969359648438,46.63969359648438,46.63969359648438,0.7243630320024997
matched_anchor,matched_anchor,True,True,label_free_anchor_transform,fixed_00482,moving_00401,482.0,401.0,,,Structure 3,Structure 3,29840.73696039116,13620.174070012054,29872.98864606606,13630.180811171986,32.25168567489891,10.006741159932062,33.76841864100773,33.76841864100773,33.76841864100773,0.7158997268145214
matched_anchor,matched_anchor,True,True,label_free_anchor_transform,fixed_00536,moving_00473,536.0,473.0,,,Structure 3,Structure 3,19832.42229395478,23199.407004961504,19775.799590609266,23202.681404826264,-56.62270334551431,3.2743998647601984,56.71730096388984,56.71730096388984,56.71730096388984,0.6895485788238928
matched_anchor,matched_anchor,True,True,label_free_anchor_transform,fixed_00530,moving_00469,530.0,469.0,,,Structure 3,Structure 3,1195.526454652234,21728.667476383,1168.358176922751,21696.89060509557,-27.168277729482952,-31.776871287431277,41.80771296787584,41.80771296787584,41.80771296787584,0.6500022158683888
matched_anchor,matched_anchor,True,True,label_free_anchor_transform,fixed_00451,moving_00389,451.0,389.0,,,Structure 3,Structure 3,974.378005032042,11402.92683846136,978.4731467459612,11456.913820914177,4.095141713919247,53.98698245281594,54.14207661345968,54.14207661345968,54.14207661345968,0.6028818360185806
matched_anchor,matched_anchor,True,True,label_free_anchor_transform,fixed_00476,moving_00392,476.0,392.0,,,Structure 3,Structure 3,27220.78229301525,15449.745864314364,27293.230835572565,15381.441441867864,72.4485425573148,-68.3044224464993,99.57050489190506,99.57050489190506,99.57050489190506,0.5982874120358176
matched_anchor,matched_anchor,True,True,label_free_anchor_transform,fixed_00461,moving_00385,461.0,385.0,,,Structure 3,Structure 3,31980.86232041533,12119.695124331389,32050.99959068005,12148.467623161752,70.13727026472043,28.772498830363475,75.80958626143335,75.80958626143335,75.80958626143335,0.5688536860131465
matched_anchor,matched_anchor,True,True,label_free_anchor_transform,fixed_00522,moving_00454,522.0,454.0,,,Structure 3,Structure 3,27299.740635674872,19506.641524503604,27377.10292248206,19568.994340792808,77.36228680718705,62.352816289203474,99.36195005751762,99.36195005751762,99.36195005751762,0.5448501979485597
matched_anchor,matched_anchor,True,True,label_free_anchor_transform,fixed_00513,moving_00447,513.0,447.0,,,Structure 3,Structure 3,19173.227520685014,18556.83392381757,19056.731633049385,18468.59250750918,-116.4958876356286,-88.24141630838858,146.143215333875,146.143215333875,146.143215333875,0.5138408782717996
matched_anchor,matched_anchor,True,True,label_free_anchor_transform,fixed_00497,moving_00426,497.0,426.0,,,Structure 3,Structure 3,24093.45456993535,16103.2129393818,24229.12410072472,16127.933288181304,135.66953078936785,24.72034879950479,137.9032894073829,137.9032894073829,137.9032894073829,0.4376894582083706
matched_anchor,matched_anchor,True,True,label_free_anchor_transform,fixed_00543,moving_00480,543.0,480.0,,,Structure 3,Structure 3,33186.21599967094,25124.567212575726,33313.3046435781,25079.987118618144,127.0886439071619,-44.580093957581994,134.68076398442443,134.68076398442443,134.68076398442443,0.4364149882530767
matched_anchor,matched_anchor,False,False,label_free_anchor_transform,fixed_00512,moving_00440,512.0,440.0,,,Structure 3,Structure 3,20212.90276032421,17487.24594406813,20322.16483366281,17718.207240753225,109.2620733385993,230.96129668509457,255.50209634503926,255.50209634503926,255.50209634503926,0.3260986621091941
matched_anchor,matched_anchor,False,False,label_free_anchor_transform,fixed_00541,moving_00484,541.0,484.0,,,Structure 3,Structure 3,2666.056743628984,25056.47419923848,2502.185610395088,24830.887518102634,-163.87113323389576,-225.58668113584645,278.82449500222765,278.82449500222765,278.82449500222765,0.2910575126925496
matched_anchor,matched_anchor,False,False,label_free_anchor_transform,fixed_00520,moving_00449,520.0,449.0,,,Structure 3,Structure 3,20996.58456978568,18417.84837579215,21279.84297250356,18442.50664364023,283.25840271788184,24.658267848080868,284.3296553009436,284.3296553009436,284.3296553009436,0.2642818563559095
matched_anchor,matched_anchor,False,False,label_free_anchor_transform,fixed_00499,moving_00430,499.0,430.0,,,Structure 3,Structure 3,18734.80003430075,16559.526686882007,18440.897843730043,16523.072633095773,-293.9021905707086,-36.454053786234,296.1543443201716,296.1543443201716,296.1543443201716,0.2398168320605716
matched_anchor,matched_anchor,False,False,label_free_anchor_transform,fixed_00508,moving_00439,508.0,439.0,,,Structure 3,Structure 3,24114.864745883435,17824.37377737835,24174.45989974797,17533.275417287794,59.59515386453495,-291.0983600905565,297.1360590900218,297.1360590900218,297.1360590900218,0.2258185444904474
matched_anchor,matched_anchor,False,False,label_free_anchor_transform,fixed_00434,moving_00368,434.0,368.0,,,Structure 3,Structure 3,33525.27950545466,10235.348403270564,34146.09860980295,10071.042138731986,620.8191043482948,-164.30626453857803,642.1938250173697,642.1938250173697,642.1938250173697,0.0693567194013404
matched_anchor,matched_anchor,False,False,label_free_anchor_transform,fixed_00479,moving_00394,479.0,394.0,,,Structure 3,Structure 3,33002.94255045598,15079.018169693398,33780.816832887045,15229.992396181971,777.8742824310684,150.97422648857355,792.3898133693243,792.3898133693243,792.3898133693243,0.0399920855959373
identity_padding,identity_padding,True,True,padded_union_bbox,,,,,,,,,-5565.685932054603,-3712.258054914055,-5565.685932054603,-3712.258054914055,0.0,0.0,0.0,0.0,0.0,
identity_padding,identity_padding,True,True,padded_union_bbox,,,,,,,,,5302.087302951899,-3712.258054914055,5302.087302951899,-3712.258054914055,0.0,0.0,0.0,0.0,0.0,
identity_padding,identity_padding,True,True,padded_union_bbox,,,,,,,,,16169.8605379584,-3712.258054914055,16169.8605379584,-3712.258054914055,0.0,0.0,0.0,0.0,0.0,
identity_padding,identity_padding,True,True,padded_union_bbox,,,,,,,,,27037.633772964902,-3712.258054914055,27037.633772964902,-3712.258054914055,0.0,0.0,0.0,0.0,0.0,
identity_padding,identity_padding,True,True,padded_union_bbox,,,,,,,,,37905.4070079714,-3712.258054914055,37905.4070079714,-3712.258054914055,0.0,0.0,0.0,0.0,0.0,
identity_padding,identity_padding,True,True,padded_union_bbox,,,,,,,,,39127.16605091406,5933.756137149801,39127.16605091406,5933.756137149801,0.0,0.0,0.0,0.0,0.0,
identity_padding,identity_padding,True,True,padded_union_bbox,,,,,,,,,39127.16605091406,16801.5293721563,39127.16605091406,16801.5293721563,0.0,0.0,0.0,0.0,0.0,
identity_padding,identity_padding,True,True,padded_union_bbox,,,,,,,,,39127.16605091406,27669.302607162797,39127.16605091406,27669.302607162797,0.0,0.0,0.0,0.0,0.0,
identity_padding,identity_padding,True,True,padded_union_bbox,,,,,,,,,39127.16605091406,38537.0758421693,39127.16605091406,38537.0758421693,0.0,0.0,0.0,0.0,0.0,
identity_padding,identity_padding,True,True,padded_union_bbox,,,,,,,,,28259.392815907544,38537.075842169295,28259.392815907544,38537.075842169295,0.0,0.0,0.0,0.0,0.0,
identity_padding,identity_padding,True,True,padded_union_bbox,,,,,,,,,17391.61958090104,38537.075842169295,17391.61958090104,38537.075842169295,0.0,0.0,0.0,0.0,0.0,
identity_padding,identity_padding,True,True,padded_union_bbox,,,,,,,,,6523.846345894548,38537.075842169295,6523.846345894548,38537.075842169295,0.0,0.0,0.0,0.0,0.0,
identity_padding,identity_padding,True,True,padded_union_bbox,,,,,,,,,-4343.926889111957,38537.075842169295,-4343.926889111957,38537.075842169295,0.0,0.0,0.0,0.0,0.0,
identity_padding,identity_padding,True,True,padded_union_bbox,,,,,,,,,-5565.685932054603,28891.061650105432,-5565.685932054603,28891.061650105432,0.0,0.0,0.0,0.0,0.0,
identity_padding,identity_padding,True,True,padded_union_bbox,,,,,,,,,-5565.685932054603,18023.28841509894,-5565.685932054603,18023.28841509894,0.0,0.0,0.0,0.0,0.0,
identity_padding,identity_padding,True,True,padded_union_bbox,,,,,,,,,-5565.685932054603,7155.515180092421,-5565.685932054603,7155.515180092421,0.0,0.0,0.0,0.0,0.0,
